show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,type,
70109249,C Kkompany,Sachin Yardi,"Mahesh Bhatt, Mithun Chakraborty, G.K. Desai, Celina Jaitly, Karan Johar, Ekta Kapoor, Tusshar Kapoor, Anupam Kher, Ashok Pandit, Lalit Parashar, Raima Sen, Rajpal Yadav",India,"May 31, 2019",2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",Movie,
80993095,Chopsticks,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz",India,"May 31, 2019",2019,TV-MA,101 min,"Comedies, Dramas, Independent Movies",Movie,
80218448,How to Sell Drugs Online (Fast),,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling",Germany,"May 31, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",TV Show,
80217946,Killer Ratings,,,,"May 31, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV Show,
70045644,Koi Aap Sa,Partho Mitra,"Aftab Shivdasani, Natassha, Dipannita Sharma, Himanshu Mallik, Vaidya Advai, Pushy Anand, Shama Deshpande, Rajendra Gupta",India,"May 31, 2019",2006,TV-14,135 min,"Comedies, International Movies, Music & Musicals",Movie,
70025612,Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natasha, Rati Agnihotri",India,"May 31, 2019",2004,TV-MA,124 min,"Action & Adventure, Horror Movies, International Movies",Movie,
80237006,Mere Pyare Prime Minister,Rakeysh Omprakash Mehra,"Anjali Patil, Om Kanojiya, Niteesh Wadhwa, Makrand Deshpande, Syna Anand, Prasad, Adarsh, Rasika Agashe",India,"May 31, 2019",2019,TV-MA,103 min,"Dramas, International Movies",Movie,
80209096,My Next Guest Needs No Introduction With David Letterman,,"President Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman",United States,,2019,TV-MA,2 Seasons,Stand-Up Comedy & Talk Shows,TV Show,
80160033,P,Paul Spurrier,"Suangporn Jaturaphut, Opal, Dor Yodrak, Pisamai Pakdeevijit, Manthana Wannarod, Supatra Roongsawang, Narisara Sairatanee, Amy Siriya","United Kingdom, Thailand","May 31, 2019",2006,TV-MA,105 min,"Horror Movies, International Movies",Movie,
81111849,Pegasus,Han Han,"Shen Teng, Yin Zheng, Johnny Huang, Zhang Benyu, Yin Fang, Tian Yu, Wei Xiang",China,"May 31, 2019",2019,TV-14,98 min,"Comedies, Dramas, International Movies",Movie,
